Source,Link,Title,Article,Date
InvestorPlace,https://markets.businessinsider.com/news/stocks/3-long-term-stocks-to-buy-as-a-new-bull-market-emerges-noc-low-cost-1032043538,3 Long-Term Stocks to Buy as a New Bull Market Emerges,"InvestorPlace - Stock Market News, Stock Advice & Trading TipsFinding the right long-term stocks to buy is an attractive option for investors looking to maximize their returns over time. They provide the opportunity to benefit from a company’s growth over a longer period, as opposed to short-term investments, which can be more volatile and unpredictable.The best long-term stocks to buycan be a great way to grow your money over time. With the right strategies and research, you can ensure that your investments are performing well and helping you reach your financial goals.Investing comes with no guarantees, so it’s important to analyze the market and concentrate on reliable, low-risk stocks that can deliver good returns over time. If you want to make the most of this new year, these dividends-rich, low-debt, and steady-earning stocks should be on your list. They will give you the best returns as you venture through 2023.NOCNorthrop Grumman Corp.$463.13LOWLowe’s$205.16COSTCostco$489.74Northrop Grumman Corp. (NOC)Source: Mike Mareen / Shutterstock.comNorthrop Grumman Corp. (NYSE:NOC) is one of the best long-term stocks to buy because it has been a major US defense contractor in business since the 1930s. As a result of its long-term success, Northrop Grumman Corp. is one of the market’s most reliable and stable investments.Northrop Grumman continues to experience growth due to its long-term government contracts. These are especially beneficial during a recession, making it a trusted defensive investment for businesses.In addition, Northrop Grumman has a huge edge in the market with the new B-21 bomber, which offers unsurpassed, automated capabilities. Selling for $700 million each and produced by Grumman will offer investors safety of mind since it will be in operation for decades.On the dividend side, for 19 years in a row, Northrop Grumman has been steadily increasing its distributions. It gives the company a strong growth track record. The dividend stock has a promising future since the payout ratio is just 19% of its net income. This indicates the company’s potential to grow over time.Lowe’s (LOW)Source: Helen89 / Shutterstock.comLowe’s(NYSE:LOW) is a household name for home improvement, with more than 70 years of experience in the industry. As one of the largest home improvement retailers in the world, Lowe’s is a popular choice for long-term investors.Lowe’s has successfully increased its profits annually by having strong comparable sales. Over the last decade, it has managed to maintain positive same-store sales growth every year. Despite not seeing much growth in its footprint, Lowe’s still has the potential to increase its earnings significantly.Lowe’s and Home Depot (NYSE:HD) have a competitive edge over their smaller rivals due to the massive size of their operations. This gives them greater buying power and allows them to purchase goods and materials in bulk at discount prices.Due to strong sales and a smart model, Lowe’s has increased its dividend for over 50 years. It earns the company the prestigious title of Dividend King – a rarity among even the highest-ranked dividend stocks.Costco Wholesale Corp. (COST)Source: ShutterstockCostco (NASDAQ:COST) has a loyal customer base and remains popular during good and bad economic times.During recessions, people look to buy in bulk to save money, while during periods of prosperity, customers often flock to stock up on groceries and other household items.Once again demonstrating its strength in adversity, Costco’s sales have increased by 5.3% from November 2021 to November 2022. This excellent success indicates the company’s resilience during challenging economic conditions.Costco is a well-established big-box retail leader that’s seen consistent growth over the years. Therefore, it certainly warrants a spot on any list of top long-term stocks to invest in for 2023 and beyond.In 2004, Costco started distributing dividends, which increased yearly then. Although it offers comparatively lower dividends, Costco sometimes pays special dividends when warranted by the business conditions. This shows its commitment to rewarding its shareholders, making it one of the best long-term stocks to buy.On the publication date, Faizan Farooque did not hold (directly or indirectly) any positions in the securities mentioned in this article. The opinions expressed in this article are those of the writer, subject to the InvestorPlace.comPublishing Guidelines.Faizan Farooque is a contributing author for InvestorPlace.com and numerous other financial sites. Faizan has several years of experience in analyzing the stock market and was a former data journalist at S&P Global Market Intelligence. His passion is to help the average investor make more informed decisions regarding their portfolio.More From InvestorPlaceBuy This $5 Stock BEFORE This Apple Project Goes LiveThe Best $1 Investment You Can Make TodayIt doesn’t matter if you have $500 or $5 million. Do this now.Early Bitcoin Millionaire Reveals His Next Big Crypto Trade “On Air”The post 3 Long-Term Stocks to Buy as a New Bull Market Emerges appeared first on InvestorPlace.",2h
Zacks,https://markets.businessinsider.com/news/stocks/costco-cost-dips-more-than-broader-markets--what-you-should-know-12098604,Costco (COST) Dips More Than Broader Markets: What You Should Know,"In the latest trading session, Costco (COST) closed at $492.11, marking a -0.1% move from the previous day. This change lagged the S&P 500's daily loss of 0.07%. Meanwhile, the Dow gained 0.31%, and the Nasdaq, a tech-heavy index, lost 3.22%.Coming into today, shares of the warehouse club operator had gained 6.48% in the past month. In that same time, the Retail-Wholesale sector gained 8.58%, while the S&P 500 gained 4.64%.Wall Street will be looking for positivity from Costco as it approaches its next earnings report date. In that report, analysts expect Costco to post earnings of $3.21 per share. This would mark year-over-year growth of 9.93%. Meanwhile, the Zacks Consensus Estimate for revenue is projecting net sales of $55.56 billion, up 7.05% from the year-ago period.For the full year, our Zacks Consensus Estimates are projecting earnings of $14.28 per share and revenue of $243.22 billion, which would represent changes of +8.68% and +7.17%, respectively, from the prior year.Investors should also note any recent changes to analyst estimates for Costco. Recent revisions tend to reflect the latest near-term business trends. As such, positive estimate revisions reflect analyst optimism about the company's business and profitability.Our research shows that these estimate changes are directly correlated with near-term stock prices. Investors can capitalize on this by using the Zacks Rank. This model considers these estimate changes and provides a simple, actionable rating system.Ranging from #1 (Strong Buy) to #5 (Strong Sell), the Zacks Rank system has a proven, outside-audited track record of outperformance, with #1 stocks returning an average of +25% annually since 1988. Over the past month, the Zacks Consensus EPS estimate has moved 0.09% higher. Costco is currently sporting a Zacks Rank of #3 (Hold).In terms of valuation, Costco is currently trading at a Forward P/E ratio of 34.51. Its industry sports an average Forward P/E of 26.94, so we one might conclude that Costco is trading at a premium comparatively.It is also worth noting that COST currently has a PEG ratio of 3.61. This metric is used similarly to the famous P/E ratio, but the PEG ratio also takes into account the stock's expected earnings growth rate. COST's industry had an average PEG ratio of 2.5 as of yesterday's close.The Retail - Discount Stores industry is part of the Retail-Wholesale sector. This industry currently has a Zacks Industry Rank of 190, which puts it in the bottom 25% of all 250+ industries.The Zacks Industry Rank includes is listed in order from best to worst in terms of the average Zacks Rank of the individual companies within each of these sectors. Our research shows that the top 50% rated industries outperform the bottom half by a factor of 2 to 1.To follow COST in the coming trading sessions, be sure to utilize Zacks.com.Zacks Names ""Single Best Pick to Double"" From thousands of stocks, 5 Zacks experts each have chosen their favorite to skyrocket +100% or more in months to come. From those 5, Director of Research Sheraz Mian hand-picks one to have the most explosive upside of all.It’s a little-known chemical company that’s up 65% over last year, yet still dirt cheap. With unrelenting demand, soaring 2022 earnings estimates, and $1.5 billion for repurchasing shares, retail investors could jump in at any time.This company could rival or surpass other recent Zacks’ Stocks Set to Double like Boston Beer Company which shot up +143.0% in little more than 9 months and NVIDIA which boomed +175.9% in one year.Free: See Our Top Stock and 4 Runners Up >>Want the latest recommendations from Zacks Investment Research? Today, you can download 7 Best Stocks for the Next 30 Days. Click to get this free reportCostco Wholesale Corporation (COST): Free Stock Analysis ReportTo read this article on Zacks.com click here.Zacks Investment Research",2d
MotleyFool,https://markets.businessinsider.com/news/stocks/why-costco-beats-out-its-competition-12097171,Why Costco Beats Out Its Competition,"Costco Wholesale has been a reliable stock for years. The company consistently demonstrates sales and earnings growth, and its differentiated business model breeds loyalty and generates volume.Even though it's different from a typical retailer, it's not the only player with this model. But it performs better than its peers. Let's see why, and what that means for its stock.Costco has had an impressive run over the past two years, and higher-than-usual growth is finally beginning to slow down. But that changes nothing about the business model, along with the value that Costco offers, which makes it such a compelling stock to own.",2d
MotleyFool,https://markets.businessinsider.com/news/stocks/down-20percent-in-2022--is-costco-stock-a-buy-right-now-12091985,"Down 20% In 2022, Is Costco Stock a Buy Right Now?","Last year was a difficult one for stock market investors, to say the least. Not only did the riskiest and most speculative companies see their share prices plummet, but even the most dominant, successful, and competitively advantaged enterprises experienced falling stock prices. Tightening monetary policy and a general risk aversion by investors negatively affected businesses of all shapes and sizes.Even Costco Wholesale wasn't immune from the despair. This top retail stock ended 2022 down 20%. Does that mean it's a smart buy right now? Let's take a closer look.As consumers flocked to its popular warehouses during the depths of the pandemic, Costco flourished. Sales jumped 17.5% in fiscal 2021 and 15.8% in fiscal 2022 (ended Aug. 28), exceeding historical averages. In fact, year-over-year revenue growth was above 12% in nine straight quarters from the fourth quarter of 2020 through Q4 2022.",3d
MotleyFool,https://markets.businessinsider.com/news/stocks/better-buy--costco-vs--nike-12090606,Better Buy: Costco vs. Nike,"Costco Wholesale and Nike(NYSE: NKE) are two consumer goods heavyweights that have delivered incredible shareholder wealth over many years. They both have extraordinary brand power and generate high consumer loyalty. If you're looking to invest in a top blue-chip stock, which one of these is the better buy today? Let's take a look.Costco has had an impressive run over the past two years, and its higher-than-usual growth is finally beginning to slow down. But that changes nothing about the inherent business model and value that Costco offers, which is what makes it such a compelling candidate as a stock to own.Costco is the leader in warehouse-style superstores but only third in U.S. retail according to sales, behind the two largest companies in the U.S., Walmart and Amazon. Costco's formula is simple but powerful: offer the lowest prices through the lowest markups, achieve consumer loyalty, and generate massive sales volume.",4d
Market Watch,https://markets.businessinsider.com/news/stocks/--costco-board-reauthorizes-$4-billion-stock-buyback-12085905,: Costco board reauthorizes $4 billion stock buyback,"Costco WholesaleCorp. said Thursday that its board of directors has reauthorized a stock buyback program of up to $4 billion. The program expires in January 2027 and replaces the current $4 billion program adopted in 2019 and scheduled to expire in April, Costco said. The board also declared a dividend of 90 cents, payable Feb. 17 to shareholders of record at the close of business on Feb. 3.Market Pulse Stories are Rapid-fire, short news bursts on stocks and markets as they move. Visit MarketWatch.com for more information on this news.",7d
InvestorPlace,https://markets.businessinsider.com/news/stocks/the-7-best-dividend-stocks-to-buy-to-beat-the-market-1032029278,The 7 Best Dividend Stocks to Buy to Beat the Market,"InvestorPlace - Stock Market News, Stock Advice & Trading TipsIn any market condition, it’s important to hold dividend stocks in one’s portfolio. These stocks provide regular cash inflow and, if valuations are attractive, meaningful capital gains. With market conditions remaining relatively bearish, some of the best dividend stocks trade at attractive valuations. These stocks can potentially deliver robust total returns.I also want to point out that the Vanguard High Dividend Yield ETF (NYSEARCA:VYM) has delivered annualized returns of 11.6% in the last 10 years. During the same period, the Vanguard Growth ETF (NYSEARCA:VUG) has delivered annualized returns of 12.8%.It therefore makes sense to hold low-beta dividend stocks in the portfolio. This is particularly true at a time when macroeconomic headwinds are significant.I also believe that the discussed dividend stocks are likely to outperform the index returns in 2023. Let’s talk about the reasons for considering these best dividend stocks.Newmont Corporation (NEM)Source: Piotr Swat/ShutterstockGold has been trending higher as inflation data indicates that this might be the end of aggressive contractionary policies. With the possibility of a recession in 2023, gold is an attractive investment theme.Among gold miners, Newmont Corporation (NYSE:NEM) stock is worth considering at current levels. The 4.19% dividend yield has the potential to deliver capital gains besides visibility for dividend growth.An investment-grade balance sheet and robust cash flows are key reasons to like Newmont. Additionally, the company has a strong asset base with 96 million ounces of proved reserves. This provides stable production visibility.High financial flexibility is also likely to ensure that the reserve replacement is close to 100%. Additionally, Newmont expects its all-in-sustaining cost to decline in the next few years. As gold trends higher, there is significant room for EBITDA margin expansion.Lockheed Martin (LMT)Source: Ken Wolter / Shutterstock.comLockheed Martin (NYSE:LMT) is also among the best dividend stocks to buy. The stock, which sports a 2.68% dividend yield, trades at an attractive price-to-earnings (P/E) ratio of 16.6. I expect the stock to remain in an uptrend besides the benefit of quarterly cash dividends.Defense-sector spending will likely remain high in the coming years. Lockheed Martin is positioned to benefit as contracts increase from the U.S. and European countries. As of Q3 2022, Lockheed Martin reported an order backlog of $140 billion.This provides clear cash-flow visibility. For the first nine months of 2022, the company reported free cash flow (FCF) of $4.9 billion. With the order intake remaining robust, LMT stock is also among the top dividend growth stocks.When it comes to long-term growth, Lockheed Martin is investing in new technology. This includes hypersonics, directed energy and autonomy. Investment in innovation will ensure that Lockheed remains among the top defense players.AT&T (T)Source: Lester Balajadia / Shutterstock.comAT&T (NYSE:T) is attractive for two reasons. First, the stock offers a dividend yield of 5.74% that seems sustainable. Further, T stock trades at a forward P/E ratio of 7.5. A meaningful rally is likely from undervalued levels.The media division spinoff has allowed AT&T to focus on its core business. Importantly, the company has reduced net debt by $25 billion year to date through Q3 2022. With the company expecting $14 billion in free cash flow for the year, deleveraging will continue.The business metrics also look encouraging for AT&T. The company continues to add 5G wireless and fiber subscribers. Increased 5G penetration is likely to translate into higher average revenue per user. For Q3 2022, AT&T reported the best revenue growth in wireless services in more than a decade.I must also mention that the company reported capital expenditure of $5.9 billion for Q3 2022. With an annual investment visibility of $20 billion, revenue growth is likely to be supported in the coming years.Pfizer (PFE)Source: photobyphm / Shutterstock.comPfizer’s (NYSE:PFE) stock has been in a correction mode, and the key reason is lower revenue visibility from the Covid-19 vaccine. However, at a forward P/E ratio of 9.8, the stock seems seriously undervalued. PFE stock also offers an attractive dividend yield of 3.56%.If we look beyond near-term concerns, there are several reasons to like Pfizer. The company has a product pipeline of 112 drugs, and as these candidates are commercialized, revenue growth is likely.Further, Pfizer has boosted its financial flexibility with significant free cash flows from vaccine sales. This cash is being deployed to accelerate the product pipeline.At the same time, Pfizer has been active on the inorganic growth front. The company is targeting $25 billion in risk-adjusted revenue from new business deals by 2030.Recently, Pfizer announced that it will sell its full portfolio of drugs to low-income countries at no profit. The company establishing a presence in these markets could be potentially rewarding in the long term.Rio Tinto (RIO)Source: Rob Bayer / Shutterstock.comAmong industrial commodity dividend stocks, Rio Tinto (NYSE:RIO) is worth buying. The 8.95% dividend yield stock has trended higher by 35% in the last six months. However, the stock still trades at an attractive forward P/E ratio of 11.39.Rio Tinto reported free cash flow of $7.1 billion for the first half of 2022. With an annualized FCF potential of $14 billion, the business is a cash-flow machine. This has translated into a quality balance sheet that ensures sustained dividends.It’s worth noting that Rio has guided for annual capital expenditure of $9.5 billion for 2023 and 2024. This excludes any potential mergers and acquisitions. With Rio focused on base metals like copper and lithium, the outlook is positive. These metals will remain in demand with a continued push toward green energy. As an example, Rio is already positioned to be the largest supplier of lithium in Europe in the next 15 years.Chevron Corporation (CVX)Source: Trong Nguyen / Shutterstock.comChevron Corporation (NYSE:CVX) is possibly among the best dividend stocks for the long term. Chevron was among the few companies that managed to generate positive operating cash flows (OCFs) when oil plunged in 2021. With low breakeven assets, the company is positioned to deliver robust cash flows.Just to put things into perspective, Chevron reported operating cash flow of $13.7 billion for Q3 2022. On an annual basis, the OCF potential is in excess of $40 billion. The company has ambitious plans to invest $15 billion to $17 billion annually in the next few years.Even after these investments, there is ample cash flow for dividend growth and share repurchases. Furthermore, Chevron reported a net-debt ratio of 4.9% as of Q3 2022. Strong financial flexibility allows Chevron to make significant investments in the lower carbon business.Chevron also has a strong asset base, and the reserve replacement has been healthy. This ensures long-term cash-flow visibility and shareholder value creation.Costco Wholesale (COST)Source: ilzesgimene / Shutterstock.comRetail stocks have been depressed in 2022, with inflation playing the spoilsport. However, amid the challenges, Costco(NASDAQ:COST) has traded sideways in the last 12 months. A dividend yield of 0.75% might not sound attractive. However, I expect COST stock to trend higher, and there is dividend growth visibility.For the first quarter of 2023, Costco reported revenue growth of 8.1% to $53.44 billion. The key point to note is that the U.S. is staring at a potential recession. With retail spending being a key growth driver, policies are likely to be directed toward boosting spending. This will benefit Costco.It’s worth noting that Costco has 66.9 million household members. This translates into $4.3 billion in annualized membership fees. With continued expansion and high renewal rates, I expect the recurring revenue to swell. This will have a positive impact on free cash flows.On the date of publication, Faisal Humayun did not hold (either directly or indirectly) any positions in the securities mentioned in this article. The opinions expressed in this article are those of the writer, subject to the InvestorPlace.comPublishing Guidelines.Faisal Humayun is a senior research analyst with 12 years of industry experience in the field of credit research, equity research and financial modeling. Faisal has authored over 1,500 stock specific articles with focus on the technology, energy and commodities sector.More From InvestorPlaceBuy This $5 Stock BEFORE This Apple Project Goes LiveThe Best $1 Investment You Can Make TodayEarly Bitcoin Millionaire Reveals His Next Big Crypto Trade “On Air”It doesn’t matter if you have $500 or $5 million. Do this now.The post The 7 Best Dividend Stocks to Buy to Beat the Market appeared first on InvestorPlace.",7d
InvestorPlace,https://markets.businessinsider.com/news/stocks/the-top-7-millionaire-maker-long-term-stocks-for-2023-1032028946,The Top 7 “Millionaire-Maker” Long-Term Stocks for 2023,"InvestorPlace - Stock Market News, Stock Advice & Trading TipsStudy after study shows that a long-term buy-and-hold investing strategy works best. Along-term investmentis generally defined as any position in a stock that is held for a year or longer. While the stock market can decline by 20% or more in a single year, which was the case in 2022, equities almost always rise over the long term. For example, the U.S. stock market has posted an average annual return of 8% or more during 20-year periods. Over 30 years, the average annual return is closer to 9%, for a total return of 1,300%. The math is clear. The longer one stays invested, thebetter their returnsare likely to be.However, staying invested through market downturns, economic shocks, global recessions, and wars can be difficult. As humans, we are prone to getting nervous and frightened, and that can lead to us hitting the “sell” button too early, costing us dearly in the long run. Remaining calm and being patient are often the most important attributes of an investor. Here are the top seven “millionaire-maker” long-term stocks to buy for 2023.TickerCompanyPriceAAPLApple$135.21NVDANvidia$173.77AMZNAmazon$95.46BRK-A, BRK-BBerkshire Hathaway$466,259.97, $308.30DXCMDexcom$106.63GOOG, GOOGLAlphabet$91.78, $91.12COSTCostco$479.47Apple (AAPL)Source: Eric Broder Van Dyke / Shutterstock.comFew stocks have returned as much value to shareholders as consumer electronics giantApple(NASDAQ:AAPL). The Silicon Valley company’s share price has gained 202% in the last five years, 625% in the past decade, and 79,000% since its initial public offering (IPO) in 1983. Long-term, it is difficult to find a stock that has performed better than Apple. And the good news for investors is that Apple is currently on sale, havingdeclined 21%over the last 12 months to currently trade at $134 a share.Many of the world’s most successful investors have made Apple a core position in their portfolio, including Warren Buffett, the most successful investor of all time. Buffett’s holding company,Berkshire Hathaway(NYSE:BRK-A, NYSE:BRK-B), currently owns $123.34 billion worth of Apple stock, making it thebiggest position in the portfolio. Buffett himself has beenbuying AAPL stockover the last year as the price has slumped.With continued new product innovations, including rumors of atouchscreen Mac computerandvirtual reality headset, Apple looks set to outperform for many years to come.Nvidia (NVDA)Source: ShutterstockChipmakerNvidia(NASDAQ:NVDA) has been battered and bruised in the last year. The Santa Clara, California-based company’s stock price has fallen 35% over the last 12 months, which is close to the drop in the Nasdaq index over the same time period. However, NVDA stock remains up nearly 200% in the last five years and has gained 5,350% over the last 10 years. Aslong-term investmentsgo, Nvidia has been a winner for its shareholders.There is every reason to believe that Nvidia will continue its outperformance. The company’s microchips and semiconductors are at the cutting edge of technological innovations that include artificial intelligence and self-driving cars. And its products continue todominate in the video game space. With supply chain bottlenecks and demand recovering, there are signs that NVDA stock may have bottomed in recent weeks. So far into 2023, the share price has increased by 18% to now trade at just under $170 a share.Amazon (AMZN)Source: Tada Images / Shutterstock.comDon’t count out e-commerce giantAmazon(NASDAQ:AMZN) either as a going concern or an investment. The Seattle-based company has produced long-term gains for investors that few other stocks can match. AMZN stock had climbed higher by nearly 600% in the last 10 years and is up nearly 110,000% since its 1997 IPO when it began trading for less than $1 a share. While the share price has beenknocked lower by nearly 40%in the last 12 months, indications point to short-term issues that shouldn’t weigh down the stock over the long term.Specifically, Amazon overbuilt, over-hired, and over-extended itself during the pandemic when the world was isolated at home and forced to shop online. The company is now working to course correct,laying off nearly 20,000 staff, closing fulfillment centers around the world, and delaying the launch of several projects. If chief executive Andy Jassy and his team can right the ship, there is every reason to believe that AMZN stock will continue growing into the future.Berkshire Hathaway (BRK-A, BRK-B)Source: Jonathan Weiss / Shutterstock.comWe mentioned that Apple is Warren Buffett’s most widely held position and that AAPL stock has delivered huge gains to Berkshire Hathaway. However, Berkshire itself is no slouch as an investment. In fact, the stock has been a juggernaut for long-term buy-and-hold investors for decades. Berkshire Hathaway’s Class A stock hasdoubled twice in the past decade. Since 1990, the stock has grown more than eight million percent.That kind of growth is mind-boggling. So too, is the current $480,000 share price of the Class A stock, which has never split. The Class A shares have gotten so hefty that stock exchanges have had to be reconfigured to enable them to continue trading on their bourse.Berkshire’s Class B stock, which trades at a ratio of 1/1,500th of the Class A stock, is more reasonably priced at $317 per share currently. Any way you slice it, Warren Buffett’s Berkshire Hathaway has proven to be astupendous long-term investment.Dexcom (DXCM)Source: FOOTAGE VECTOR PHOTO / Shutterstock.comProbably the least well-known stock on this list isDexcom(NASDAQ:DXCM). The San Diego-based medical device company makes continuous glucose monitoring systems for people who have Diabetes. And its glucose monitoring systems have become the standard in the U.S. and many other countries around the world. This has led to big gains in DXCM stock over the long term. Consider that the company’s share price hasincreased 675%in the last five years and gained more than 2,800% over the past 10 years. Since going public in 2005, the stock has been up more than 4,000%.The current share price of $108 looks expensive, with a price-earnings ratio of more than 200. However, analysts remain bullish on DXCM stock, with a median price target on the shares of $130, suggesting a further 20% upside from current levels. Dexcom continues to benefit from its focus on treating Diabetes and its market-leading position when it comes to innovative glucose monitoring systems. The company continues to bring new Diabetes management products to market and is forecasting that it willgrow 32.9%in each of the next five years. This is a stock built for the long term.Alphabet (GOOG, GOOGL)Source: Benny Marty / Shutterstock.comAny investor who got in onAlphabet’s(NASDAQ:GOOG, NASDAQ:GOOGL) IPO nearly 20 years ago is sitting pretty today. That’s because GOOGL stock has risen more than 3,250% since the tech giant made its market debut in August 2004. More recently, the share price has gained 60% in the past five years. In the last 12 months, Alphabet has undertaken a 20-for-1 stock split that has made theshares much more affordable. A 33% decline in the share price has also helped make the stock cheap at its current level of $91. The price-earnings ratio of 18 is the lowest it has been in more than a decade.Investors looking for a best-in-class tech company should give serious consideration to buying GOOGL stock while it’s on sale. With the online advertising market recovering and the Federal Reserve’s interest rate hikes nearing their conclusion, theoutlook for Alphabetand its share price is brightening. Plus, Alphabet continues to grow its market share in sectors ranging from smartphones and artificial intelligence to cloud computing and wearable tech. The company’s balance sheet is fortified for an economic downturn, and Alphabet continues to generate huge amounts of cash, primarily from digital advertisements. This is a stock built for the long term.Costco (COST)Source: ilzesgimene / Shutterstock.comBig box retailerCostco’s(NASDAQ:COST) stock seems tooutperform in any type of market. COST stock has been flat over the last year, up 153% in the last five years, and has gained nearly 400% during the past decade. Since the year 2000, the Seattle-based company’s share price has risen 1,000%. This is a testament to Costco’s strong business model, durable competitive advantage, and the near cult-like devotion of its customers who pay an annual membership fee to shop at the warehouse club.Costco’s same-store sales growth has remained consistently strong throughout the pandemic and economic reopening; the company is expanding into new service areas that include travel, home improvement, and business services, and itsmembership renewal rate is above 95%, the industry gold standard. Costco’s net sales in its most recent fiscal year, which ended October 2022, totaled $222.7 billion, up 16% from the previous year and an all-time record for the company. No wonder Yahoo Finance named Costco its 2022 “Company of the Year.” Investors with a long time horizon should definitely consider a position in COST stock.On the date of publication, Joel Bagloleheld long positions in AAPL, NVDA and GOOGL. The opinions expressed in this article are those of the writer, subject to the InvestorPlace.com Publishing Guidelines.Joel Baglole has been a business journalist for 20 years. He spent five years as a staff reporter at The Wall Street Journal, and has also written for The Washington Post and Toronto Star newspapers, as well as financial websites such as The Motley Fool and Investopedia.More From InvestorPlaceBuy This $5 Stock BEFORE This Apple Project Goes LiveThe Best $1 Investment You Can Make TodayEarly Bitcoin Millionaire Reveals His Next Big Crypto Trade “On Air”It doesn’t matter if you have $500 or $5 million. Do this now.The post The Top 7 “Millionaire-Maker” Long-Term Stocks for 2023 appeared first on InvestorPlace.",7d
MotleyFool,https://markets.businessinsider.com/news/stocks/costco-stock-in-2023--bull-vs--bear-12083458,Costco Stock in 2023: Bull vs. Bear,"Costco Wholesale saw sales surge over the past two fiscal years, as subscribers flocked to the retailer's warehouses to satisfy their shopping needs. The stock has followed suit, up 55% since the start of 2020, compared to a 19% rise for the S&P 500 over the same timeframe. Given the recent strong performance, many investors are trying to figure out what's next for Costco.The start of a new year is a good time for shareholders to reassess why they like this business. Let's take a closer look at both sides of the investment argument for this top retail stock.A top reason to like Costco as an investor involves the resilience of the business model. During the Great Recession more than a decade ago, the company's net sales declined by only 1.5% in fiscal 2009, its only down revenue year in at least the past 21 fiscal years. What's more, Costco really shined during the coronavirus pandemic, with annual revenue growth exceeding 15% in the past two fiscal years.Customers turn to Costco and its 847 warehouses to find the lowest prices around on a range of product categories, all in a no-frills environment. And this relentless focus on value will never go out of style.",7d
Zacks,https://markets.businessinsider.com/news/stocks/costco-cost-stock-moves--1-5percent--what-you-should-know-12082125,Costco (COST) Stock Moves -1.5%: What You Should Know,"Costco (COST) closed the most recent trading day at $479.47, moving -1.5% from the previous trading session. This change was narrower than the S&P 500's daily loss of 1.56%. At the same time, the Dow lost 1.81%, and the tech-heavy Nasdaqlost 4.66%.Heading into today, shares of the warehouse club operator had gained 6.32% over the past month, lagging the Retail-Wholesale sector's gain of 7.14% and outpacing the S&P 500's gain of 3.82% in that time.Investors will be hoping for strength from Costco as it approaches its next earnings release. In that report, analysts expect Costco to post earnings of $3.21 per share. This would mark year-over-year growth of 9.93%. Our most recent consensus estimate is calling for quarterly revenue of $55.56 billion, up 7.05% from the year-ago period.COST's full-year Zacks Consensus Estimates are calling for earnings of $14.28 per share and revenue of $243.22 billion. These results would represent year-over-year changes of +8.68% and +7.17%, respectively.Any recent changes to analyst estimates for Costco should also be noted by investors. These revisions help to show the ever-changing nature of near-term business trends. With this in mind, we can consider positive estimate revisions a sign of optimism about the company's business outlook.Research indicates that these estimate revisions are directly correlated with near-term share price momentum. Investors can capitalize on this by using the Zacks Rank. This model considers these estimate changes and provides a simple, actionable rating system.Ranging from #1 (Strong Buy) to #5 (Strong Sell), the Zacks Rank system has a proven, outside-audited track record of outperformance, with #1 stocks returning an average of +25% annually since 1988. Over the past month, the Zacks Consensus EPS estimate has moved 0.02% lower. Costco currently has a Zacks Rank of #3 (Hold).Valuation is also important, so investors should note that Costco has a Forward P/E ratio of 34.1 right now. Its industry sports an average Forward P/E of 27.87, so we one might conclude that Costco is trading at a premium comparatively.Investors should also note that COST has a PEG ratio of 3.56 right now. This metric is used similarly to the famous P/E ratio, but the PEG ratio also takes into account the stock's expected earnings growth rate. Retail - Discount Stores stocks are, on average, holding a PEG ratio of 2.57 based on yesterday's closing prices.The Retail - Discount Stores industry is part of the Retail-Wholesale sector. This group has a Zacks Industry Rank of 92, putting it in the top 37% of all 250+ industries.The Zacks Industry Rank gauges the strength of our individual industry groups by measuring the average Zacks Rank of the individual stocks within the groups. Our research shows that the top 50% rated industries outperform the bottom half by a factor of 2 to 1.You can find more information on all of these metrics, and much more, on Zacks.com.5 Stocks Set to Double Each was handpicked by a Zacks expert as the #1 favorite stock to gain +100% or more in 2021. Previous recommendations have soared +143.0%, +175.9%, +498.3% and +673.0%.Most of the stocks in this report are flying under Wall Street radar, which provides a great opportunity to get in on the ground floor.Today, See These 5 Potential Home Runs >>Want the latest recommendations from Zacks Investment Research? Today, you can download 7 Best Stocks for the Next 30 Days. Click to get this free reportCostco Wholesale Corporation (COST): Free Stock Analysis ReportTo read this article on Zacks.com click here.Zacks Investment Research",8d
